Web Search interest: xcode
Worldwide; 2004 - present

Interest over time
Week,xcode
2005-03-27 - 2005-04-02,18
2005-04-03 - 2005-04-09,16
2005-04-10 - 2005-04-16,19
2005-04-17 - 2005-04-23,19
2005-04-24 - 2005-04-30,25
2005-05-01 - 2005-05-07,36
2005-05-08 - 2005-05-14,22
2005-05-15 - 2005-05-21,23
2005-05-22 - 2005-05-28,32
2005-05-29 - 2005-06-04,22
2005-06-05 - 2005-06-11,60
2005-06-12 - 2005-06-18,39
2005-06-19 - 2005-06-25,34
2005-06-26 - 2005-07-02,23
2005-07-03 - 2005-07-09,24
2005-07-10 - 2005-07-16,24
2005-07-17 - 2005-07-23,20
2005-07-24 - 2005-07-30,27
2005-07-31 - 2005-08-06,34
2005-08-07 - 2005-08-13,28
2005-08-14 - 2005-08-20,24
2005-08-21 - 2005-08-27,27
2005-08-28 - 2005-09-03,29
2005-09-04 - 2005-09-10,20
2005-09-11 - 2005-09-17,26
2005-09-18 - 2005-09-24,24
2005-09-25 - 2005-10-01,19
2005-10-02 - 2005-10-08,15
2005-10-09 - 2005-10-15,22
2005-10-16 - 2005-10-22,23
2005-10-23 - 2005-10-29,20
2005-10-30 - 2005-11-05,18
2005-11-06 - 2005-11-12,28
2005-11-13 - 2005-11-19,26
2005-11-20 - 2005-11-26,23
2005-11-27 - 2005-12-03,28
2005-12-04 - 2005-12-10,17
2005-12-11 - 2005-12-17,22
2005-12-18 - 2005-12-24,21
2005-12-25 - 2005-12-31,21
2006-01-01 - 2006-01-07,12
2006-01-08 - 2006-01-14,24
2006-01-15 - 2006-01-21,23
2006-01-22 - 2006-01-28,19
2006-01-29 - 2006-02-04,23
2006-02-05 - 2006-02-11,22
2006-02-12 - 2006-02-18,24
2006-02-19 - 2006-02-25,20
2006-02-26 - 2006-03-04,18
2006-03-05 - 2006-03-11,23
2006-03-12 - 2006-03-18,26
2006-03-19 - 2006-03-25,21
2006-03-26 - 2006-04-01,16
2006-04-02 - 2006-04-08,22
2006-04-09 - 2006-04-15,21
2006-04-16 - 2006-04-22,25
2006-04-23 - 2006-04-29,18
2006-04-30 - 2006-05-06,19
2006-05-07 - 2006-05-13,16
2006-05-14 - 2006-05-20,19
2006-05-21 - 2006-05-27,21
2006-05-28 - 2006-06-03,24
2006-06-04 - 2006-06-10,23
2006-06-11 - 2006-06-17,21
2006-06-18 - 2006-06-24,24
2006-06-25 - 2006-07-01,20
2006-07-02 - 2006-07-08,22
2006-07-09 - 2006-07-15,24
2006-07-16 - 2006-07-22,20
2006-07-23 - 2006-07-29,18
2006-07-30 - 2006-08-05,19
2006-08-06 - 2006-08-12,52
2006-08-13 - 2006-08-19,29
2006-08-20 - 2006-08-26,23
2006-08-27 - 2006-09-02,23
2006-09-03 - 2006-09-09,22
2006-09-10 - 2006-09-16,20
2006-09-17 - 2006-09-23,20
2006-09-24 - 2006-09-30,23
2006-10-01 - 2006-10-07,24
2006-10-08 - 2006-10-14,22
2006-10-15 - 2006-10-21,21
2006-10-22 - 2006-10-28,21
2006-10-29 - 2006-11-04,32
2006-11-05 - 2006-11-11,27
2006-11-12 - 2006-11-18,22
2006-11-19 - 2006-11-25,16
2006-11-26 - 2006-12-02,23
2006-12-03 - 2006-12-09,19
2006-12-10 - 2006-12-16,15
2006-12-17 - 2006-12-23,18
2006-12-24 - 2006-12-30,18
2006-12-31 - 2007-01-06,18
2007-01-07 - 2007-01-13,25
2007-01-14 - 2007-01-20,23
2007-01-21 - 2007-01-27,25
2007-01-28 - 2007-02-03,25
2007-02-04 - 2007-02-10,22
2007-02-11 - 2007-02-17,22
2007-02-18 - 2007-02-24,18
2007-02-25 - 2007-03-03,24
2007-03-04 - 2007-03-10,26
2007-03-11 - 2007-03-17,21
2007-03-18 - 2007-03-24,25
2007-03-25 - 2007-03-31,22
2007-04-01 - 2007-04-07,18
2007-04-08 - 2007-04-14,21
2007-04-15 - 2007-04-21,19
2007-04-22 - 2007-04-28,19
2007-04-29 - 2007-05-05,18
2007-05-06 - 2007-05-12,17
2007-05-13 - 2007-05-19,17
2007-05-20 - 2007-05-26,14
2007-05-27 - 2007-06-02,18
2007-06-03 - 2007-06-09,18
2007-06-10 - 2007-06-16,26
2007-06-17 - 2007-06-23,22
2007-06-24 - 2007-06-30,16
2007-07-01 - 2007-07-07,19
2007-07-08 - 2007-07-14,17
2007-07-15 - 2007-07-21,20
2007-07-22 - 2007-07-28,14
2007-07-29 - 2007-08-04,17
2007-08-05 - 2007-08-11,17
2007-08-12 - 2007-08-18,17
2007-08-19 - 2007-08-25,20
2007-08-26 - 2007-09-01,17
2007-09-02 - 2007-09-08,21
2007-09-09 - 2007-09-15,16
2007-09-16 - 2007-09-22,18
2007-09-23 - 2007-09-29,18
2007-09-30 - 2007-10-06,19
2007-10-07 - 2007-10-13,17
2007-10-14 - 2007-10-20,21
2007-10-21 - 2007-10-27,19
2007-10-28 - 2007-11-03,35
2007-11-04 - 2007-11-10,26
2007-11-11 - 2007-11-17,24
2007-11-18 - 2007-11-24,24
2007-11-25 - 2007-12-01,24
2007-12-02 - 2007-12-08,24
2007-12-09 - 2007-12-15,23
2007-12-16 - 2007-12-22,21
2007-12-23 - 2007-12-29,21
2007-12-30 - 2008-01-05,21
2008-01-06 - 2008-01-12,20
2008-01-13 - 2008-01-19,22
2008-01-20 - 2008-01-26,20
2008-01-27 - 2008-02-02,21
2008-02-03 - 2008-02-09,22
2008-02-10 - 2008-02-16,19
2008-02-17 - 2008-02-23,20
2008-02-24 - 2008-03-01,19
2008-03-02 - 2008-03-08,34
2008-03-09 - 2008-03-15,38
2008-03-16 - 2008-03-22,33
2008-03-23 - 2008-03-29,25
2008-03-30 - 2008-04-05,24
2008-04-06 - 2008-04-12,26
2008-04-13 - 2008-04-19,22
2008-04-20 - 2008-04-26,23
2008-04-27 - 2008-05-03,23
2008-05-04 - 2008-05-10,22
2008-05-11 - 2008-05-17,22
2008-05-18 - 2008-05-24,18
2008-05-25 - 2008-05-31,24
2008-06-01 - 2008-06-07,19
2008-06-08 - 2008-06-14,34
2008-06-15 - 2008-06-21,27
2008-06-22 - 2008-06-28,28
2008-06-29 - 2008-07-05,27
2008-07-06 - 2008-07-12,23
2008-07-13 - 2008-07-19,34
2008-07-20 - 2008-07-26,27
2008-07-27 - 2008-08-02,25
2008-08-03 - 2008-08-09,28
2008-08-10 - 2008-08-16,28
2008-08-17 - 2008-08-23,28
2008-08-24 - 2008-08-30,27
2008-08-31 - 2008-09-06,30
2008-09-07 - 2008-09-13,26
2008-09-14 - 2008-09-20,28
2008-09-21 - 2008-09-27,28
2008-09-28 - 2008-10-04,27
2008-10-05 - 2008-10-11,29
2008-10-12 - 2008-10-18,25
2008-10-19 - 2008-10-25,33
2008-10-26 - 2008-11-01,29
2008-11-02 - 2008-11-08,28
2008-11-09 - 2008-11-15,26
2008-11-16 - 2008-11-22,32
2008-11-23 - 2008-11-29,27
2008-11-30 - 2008-12-06,25
2008-12-07 - 2008-12-13,28
2008-12-14 - 2008-12-20,26
2008-12-21 - 2008-12-27,30
2008-12-28 - 2009-01-03,27
2009-01-04 - 2009-01-10,30
2009-01-11 - 2009-01-17,33
2009-01-18 - 2009-01-24,31
2009-01-25 - 2009-01-31,31
2009-02-01 - 2009-02-07,33
2009-02-08 - 2009-02-14,31
2009-02-15 - 2009-02-21,31
2009-02-22 - 2009-02-28,31
2009-03-01 - 2009-03-07,31
2009-03-08 - 2009-03-14,29
2009-03-15 - 2009-03-21,38
2009-03-22 - 2009-03-28,34
2009-03-29 - 2009-04-04,31
2009-04-05 - 2009-04-11,35
2009-04-12 - 2009-04-18,34
2009-04-19 - 2009-04-25,34
2009-04-26 - 2009-05-02,33
2009-05-03 - 2009-05-09,32
2009-05-10 - 2009-05-16,35
2009-05-17 - 2009-05-23,32
2009-05-24 - 2009-05-30,31
2009-05-31 - 2009-06-06,32
2009-06-07 - 2009-06-13,39
2009-06-14 - 2009-06-20,41
2009-06-21 - 2009-06-27,34
2009-06-28 - 2009-07-04,35
2009-07-05 - 2009-07-11,36
2009-07-12 - 2009-07-18,36
2009-07-19 - 2009-07-25,37
2009-07-26 - 2009-08-01,37
2009-08-02 - 2009-08-08,40
2009-08-09 - 2009-08-15,33
2009-08-16 - 2009-08-22,35
2009-08-23 - 2009-08-29,39
2009-08-30 - 2009-09-05,51
2009-09-06 - 2009-09-12,48
2009-09-13 - 2009-09-19,45
2009-09-20 - 2009-09-26,39
2009-09-27 - 2009-10-03,39
2009-10-04 - 2009-10-10,41
2009-10-11 - 2009-10-17,39
2009-10-18 - 2009-10-24,41
2009-10-25 - 2009-10-31,35
2009-11-01 - 2009-11-07,36
2009-11-08 - 2009-11-14,35
2009-11-15 - 2009-11-21,36
2009-11-22 - 2009-11-28,37
2009-11-29 - 2009-12-05,33
2009-12-06 - 2009-12-12,37
2009-12-13 - 2009-12-19,33
2009-12-20 - 2009-12-26,37
2009-12-27 - 2010-01-02,35
2010-01-03 - 2010-01-09,37
2010-01-10 - 2010-01-16,34
2010-01-17 - 2010-01-23,36
2010-01-24 - 2010-01-30,41
2010-01-31 - 2010-02-06,44
2010-02-07 - 2010-02-13,40
2010-02-14 - 2010-02-20,41
2010-02-21 - 2010-02-27,38
2010-02-28 - 2010-03-06,37
2010-03-07 - 2010-03-13,38
2010-03-14 - 2010-03-20,39
2010-03-21 - 2010-03-27,38
2010-03-28 - 2010-04-03,41
2010-04-04 - 2010-04-10,48
2010-04-11 - 2010-04-17,51
2010-04-18 - 2010-04-24,50
2010-04-25 - 2010-05-01,43
2010-05-02 - 2010-05-08,49
2010-05-09 - 2010-05-15,46
2010-05-16 - 2010-05-22,43
2010-05-23 - 2010-05-29,45
2010-05-30 - 2010-06-05,49
2010-06-06 - 2010-06-12,63
2010-06-13 - 2010-06-19,58
2010-06-20 - 2010-06-26,70
2010-06-27 - 2010-07-03,61
2010-07-04 - 2010-07-10,51
2010-07-11 - 2010-07-17,52
2010-07-18 - 2010-07-24,58
2010-07-25 - 2010-07-31,56
2010-08-01 - 2010-08-07,55
2010-08-08 - 2010-08-14,54
2010-08-15 - 2010-08-21,51
2010-08-22 - 2010-08-28,52
2010-08-29 - 2010-09-04,52
2010-09-05 - 2010-09-11,54
2010-09-12 - 2010-09-18,56
2010-09-19 - 2010-09-25,58
2010-09-26 - 2010-10-02,53
2010-10-03 - 2010-10-09,53
2010-10-10 - 2010-10-16,53
2010-10-17 - 2010-10-23,57
2010-10-24 - 2010-10-30,51
2010-10-31 - 2010-11-06,55
2010-11-07 - 2010-11-13,54
2010-11-14 - 2010-11-20,54
2010-11-21 - 2010-11-27,58
2010-11-28 - 2010-12-04,55
2010-12-05 - 2010-12-11,54
2010-12-12 - 2010-12-18,51
2010-12-19 - 2010-12-25,51
2010-12-26 - 2011-01-01,46
2011-01-02 - 2011-01-08,57
2011-01-09 - 2011-01-15,61
2011-01-16 - 2011-01-22,61
2011-01-23 - 2011-01-29,60
2011-01-30 - 2011-02-05,60
2011-02-06 - 2011-02-12,64
2011-02-13 - 2011-02-19,60
2011-02-20 - 2011-02-26,61
2011-02-27 - 2011-03-05,66
2011-03-06 - 2011-03-12,99
2011-03-13 - 2011-03-19,100
2011-03-20 - 2011-03-26,89
2011-03-27 - 2011-04-02,89
2011-04-03 - 2011-04-09,85
2011-04-10 - 2011-04-16,83
2011-04-17 - 2011-04-23,84
2011-04-24 - 2011-04-30,74
2011-05-01 - 2011-05-07,75
2011-05-08 - 2011-05-14,76
2011-05-15 - 2011-05-21,73
2011-05-22 - 2011-05-28,76
2011-05-29 - 2011-06-04,73
2011-06-05 - 2011-06-11,80
2011-06-12 - 2011-06-18,82
2011-06-19 - 2011-06-25,79
2011-06-26 - 2011-07-02,81
2011-07-03 - 2011-07-09,78
2011-07-10 - 2011-07-16,77
2011-07-17 - 2011-07-23,94
2011-07-24 - 2011-07-30,93
2011-07-31 - 2011-08-06,86
2011-08-07 - 2011-08-13,86
2011-08-14 - 2011-08-20,80
2011-08-21 - 2011-08-27,78
2011-08-28 - 2011-09-03,75
2011-09-04 - 2011-09-10,78
2011-09-11 - 2011-09-17,78
2011-09-18 - 2011-09-24,80
2011-09-25 - 2011-10-01,76
2011-10-02 - 2011-10-08,77
2011-10-09 - 2011-10-15,92
2011-10-16 - 2011-10-22,96
2011-10-23 - 2011-10-29,88
2011-10-30 - 2011-11-05,86
2011-11-06 - 2011-11-12,87
2011-11-13 - 2011-11-19,87
2011-11-20 - 2011-11-26,85
2011-11-27 - 2011-12-03,86
2011-12-04 - 2011-12-10,85
2011-12-11 - 2011-12-17,77
2011-12-18 - 2011-12-24,71
2011-12-25 - 2011-12-31,71
2012-01-01 - 2012-01-07,74
2012-01-08 - 2012-01-14,82
2012-01-15 - 2012-01-21,80
2012-01-22 - 2012-01-28,75
2012-01-29 - 2012-02-04,81
2012-02-05 - 2012-02-11,78
2012-02-12 - 2012-02-18,87
2012-02-19 - 2012-02-25,86
2012-02-26 - 2012-03-03,83
2012-03-04 - 2012-03-10,90
2012-03-11 - 2012-03-17,96
2012-03-18 - 2012-03-24,87
2012-03-25 - 2012-03-31,88
2012-04-01 - 2012-04-07,84
2012-04-08 - 2012-04-14,81
2012-04-15 - 2012-04-21,87
2012-04-22 - 2012-04-28,85
2012-04-29 - 2012-05-05,80
2012-05-06 - 2012-05-12,79
2012-05-13 - 2012-05-19,75
2012-05-20 - 2012-05-26,74
2012-05-27 - 2012-06-02,78
2012-06-03 - 2012-06-09,80
2012-06-10 - 2012-06-16,82
2012-06-17 - 2012-06-23,83
2012-06-24 - 2012-06-30,79
2012-07-01 - 2012-07-07,84
2012-07-08 - 2012-07-14,84
2012-07-15 - 2012-07-21,80
2012-07-22 - 2012-07-28,87
2012-07-29 - 2012-08-04,86
2012-08-05 - 2012-08-11,83
2012-08-12 - 2012-08-18,81
2012-08-19 - 2012-08-25,77
2012-08-26 - 2012-09-01,77
2012-09-02 - 2012-09-08,76
2012-09-09 - 2012-09-15,84
2012-09-16 - 2012-09-22,91
2012-09-23 - 2012-09-29,91
2012-09-30 - 2012-10-06,82
2012-10-07 - 2012-10-13,81
2012-10-14 - 2012-10-20,81
2012-10-21 - 2012-10-27,77
2012-10-28 - 2012-11-03,69
2012-11-04 - 2012-11-10,72
2012-11-11 - 2012-11-17,73
2012-11-18 - 2012-11-24,64
2012-11-25 - 2012-12-01,67
2012-12-02 - 2012-12-08,69
2012-12-09 - 2012-12-15,68
2012-12-16 - 2012-12-22,62
2012-12-23 - 2012-12-29,54
2012-12-30 - 2013-01-05,57
2013-01-06 - 2013-01-12,64
2013-01-13 - 2013-01-19,64
2013-01-20 - 2013-01-26,68
2013-01-27 - 2013-02-02,69
2013-02-03 - 2013-02-09,69
2013-02-10 - 2013-02-16,64
2013-02-17 - 2013-02-23,65
2013-02-24 - 2013-03-02,64
2013-03-03 - 2013-03-09,65
2013-03-10 - 2013-03-16,66
2013-03-17 - 2013-03-23,69
2013-03-24 - 2013-03-30,66
2013-03-31 - 2013-04-06,63
2013-04-07 - 2013-04-13,66
2013-04-14 - 2013-04-20,68
2013-04-21 - 2013-04-27,63
2013-04-28 - 2013-05-04,62
2013-05-05 - 2013-05-11,63
2013-05-12 - 2013-05-18,64
2013-05-19 - 2013-05-25,59
2013-05-26 - 2013-06-01,59
2013-06-02 - 2013-06-08,61
2013-06-09 - 2013-06-15,80
2013-06-16 - 2013-06-22,73
2013-06-23 - 2013-06-29,68
2013-06-30 - 2013-07-06,62
2013-07-07 - 2013-07-13,63
2013-07-14 - 2013-07-20,62
2013-07-21 - 2013-07-27,60
2013-07-28 - 2013-08-03,61
2013-08-04 - 2013-08-10,61
2013-08-11 - 2013-08-17,60
2013-08-18 - 2013-08-24,62
2013-08-25 - 2013-08-31,61
2013-09-01 - 2013-09-07,59
2013-09-08 - 2013-09-14,71
2013-09-15 - 2013-09-21,79
2013-09-22 - 2013-09-28,84
2013-09-29 - 2013-10-05,79
2013-10-06 - 2013-10-12,80
2013-10-13 - 2013-10-19,75
2013-10-20 - 2013-10-26,77
2013-10-27 - 2013-11-02,76
2013-11-03 - 2013-11-09,77
2013-11-10 - 2013-11-16,74
2013-11-17 - 2013-11-23,69
2013-11-24 - 2013-11-30,68
2013-12-01 - 2013-12-07,64
2013-12-08 - 2013-12-14,65
2013-12-15 - 2013-12-21,64
2013-12-22 - 2013-12-28,49
2013-12-29 - 2014-01-04,50
2014-01-05 - 2014-01-11,63
2014-01-12 - 2014-01-18,67
2014-01-19 - 2014-01-25,67
2014-01-26 - 2014-02-01,66
2014-02-02 - 2014-02-08,65
2014-02-09 - 2014-02-15,67
2014-02-16 - 2014-02-22,70
2014-02-23 - 2014-03-01,68
2014-03-02 - 2014-03-08,68
2014-03-09 - 2014-03-15,73
2014-03-16 - 2014-03-22,71
2014-03-23 - 2014-03-29,70
2014-03-30 - 2014-04-05,66
2014-04-06 - 2014-04-12,68
2014-04-13 - 2014-04-19,64
2014-04-20 - 2014-04-26,63
2014-04-27 - 2014-05-03,59
2014-05-04 - 2014-05-10,62
2014-05-11 - 2014-05-17,62
2014-05-18 - 2014-05-24,59
2014-05-25 - 2014-05-31,55
2014-06-01 - 2014-06-07,90
2014-06-08 - 2014-06-14,66
2014-06-15 - 2014-06-21,62
2014-06-22 - 2014-06-28,59
2014-06-29 - 2014-07-05,57
2014-07-06 - 2014-07-12,60
2014-07-13 - 2014-07-19,62
2014-07-20 - 2014-07-26,63
2014-07-27 - 2014-08-02,62
2014-08-03 - 2014-08-09,64
2014-08-10 - 2014-08-16, 
2014-08-17 - 2014-08-23, 
2014-08-24 - 2014-08-30, 
2014-08-31 - 2014-09-06, 

Interest over time
Week,Programming,xcode
2004-01-04 - 2004-01-10,+0%,+0%
2004-01-11 - 2004-01-17,+3%,-14%
2004-01-18 - 2004-01-24,+3%,-57%
2004-01-25 - 2004-01-31,+6%,-14%
2004-02-01 - 2004-02-07,+7%,-21%
2004-02-08 - 2004-02-14,+8%,-32%
2004-02-15 - 2004-02-21,+8%,-18%
2004-02-22 - 2004-02-28,+11%,+4%
2004-02-29 - 2004-03-06,+14%,+21%
2004-03-07 - 2004-03-13,+2%,-18%
2004-03-14 - 2004-03-20,+6%,-18%
2004-03-21 - 2004-03-27,-1%,-39%
2004-03-28 - 2004-04-03,+5%,-43%
2004-04-04 - 2004-04-10,+3%,-61%
2004-04-11 - 2004-04-17,+3%,-36%
2004-04-18 - 2004-04-24,+7%,-32%
2004-04-25 - 2004-05-01,+3%,-7%
2004-05-02 - 2004-05-08,-1%,-18%
2004-05-09 - 2004-05-15,+3%,-32%
2004-05-16 - 2004-05-22,+3%,-21%
2004-05-23 - 2004-05-29,+1%,-18%
2004-05-30 - 2004-06-05,+1%,-39%
2004-06-06 - 2004-06-12,+2%,-11%
2004-06-13 - 2004-06-19,-2%,-32%
2004-06-20 - 2004-06-26,-1%,-43%
2004-06-27 - 2004-07-03,-2%,-4%
2004-07-04 - 2004-07-10,-2%,-4%
2004-07-11 - 2004-07-17,+2%,-32%
2004-07-18 - 2004-07-24,-2%,-14%
2004-07-25 - 2004-07-31,+1%,-11%
2004-08-01 - 2004-08-07,-5%,-11%
2004-08-08 - 2004-08-14,-5%,+14%
2004-08-15 - 2004-08-21,-5%,+7%
2004-08-22 - 2004-08-28,-2%,-4%
2004-08-29 - 2004-09-04,-2%,+0%
2004-09-05 - 2004-09-11,-2%,-43%
2004-09-12 - 2004-09-18,+0%,+4%
2004-09-19 - 2004-09-25,-6%,-39%
2004-09-26 - 2004-10-02,-5%,-39%
2004-10-03 - 2004-10-09,+0%,-39%
2004-10-10 - 2004-10-16,-5%,-29%
2004-10-17 - 2004-10-23,-3%,-14%
2004-10-24 - 2004-10-30,-1%,-29%
2004-10-31 - 2004-11-06,-8%,-57%
2004-11-07 - 2004-11-13,-7%,-21%
2004-11-14 - 2004-11-20,-3%,-14%
2004-11-21 - 2004-11-27,-5%,-39%
2004-11-28 - 2004-12-04,-8%,-39%
2004-12-05 - 2004-12-11,-7%,-32%
2004-12-12 - 2004-12-18,-9%,-21%
2004-12-19 - 2004-12-25,-15%,-36%
2004-12-26 - 2005-01-01,-23%,-39%
2005-01-02 - 2005-01-08,-17%,-46%
2005-01-09 - 2005-01-15,-11%,-14%
2005-01-16 - 2005-01-22,-14%,-32%
2005-01-23 - 2005-01-29,-9%,-25%
2005-01-30 - 2005-02-05,-9%,-18%
2005-02-06 - 2005-02-12,-12%,-21%
2005-02-13 - 2005-02-19,-10%,+7%
2005-02-20 - 2005-02-26,-6%,+21%
2005-02-27 - 2005-03-05,-10%,-25%
2005-03-06 - 2005-03-12,-10%,-11%
2005-03-13 - 2005-03-19,-9%,-29%
2005-03-20 - 2005-03-26,-14%,-43%
2005-03-27 - 2005-04-02,-17%,-36%
2005-04-03 - 2005-04-09,-14%,-43%
2005-04-10 - 2005-04-16,-15%,-32%
2005-04-17 - 2005-04-23,-12%,-32%
2005-04-24 - 2005-04-30,-14%,-11%
2005-05-01 - 2005-05-07,-15%,+29%
2005-05-08 - 2005-05-14,-9%,-21%
2005-05-15 - 2005-05-21,-11%,-18%
2005-05-22 - 2005-05-28,-11%,+14%
2005-05-29 - 2005-06-04,-12%,-21%
2005-06-05 - 2005-06-11,-14%,+114%
2005-06-12 - 2005-06-18,-14%,+39%
2005-06-19 - 2005-06-25,-12%,+21%
2005-06-26 - 2005-07-02,-12%,-18%
2005-07-03 - 2005-07-09,-17%,-14%
2005-07-10 - 2005-07-16,-14%,-14%
2005-07-17 - 2005-07-23,-17%,-29%
2005-07-24 - 2005-07-30,-17%,-4%
2005-07-31 - 2005-08-06,-19%,+21%
2005-08-07 - 2005-08-13,-19%,+0%
2005-08-14 - 2005-08-20,-23%,-14%
2005-08-21 - 2005-08-27,-19%,-4%
2005-08-28 - 2005-09-03,-19%,+4%
2005-09-04 - 2005-09-10,-20%,-29%
2005-09-11 - 2005-09-17,-18%,-7%
2005-09-18 - 2005-09-24,-16%,-14%
2005-09-25 - 2005-10-01,-20%,-32%
2005-10-02 - 2005-10-08,-22%,-46%
2005-10-09 - 2005-10-15,-15%,-21%
2005-10-16 - 2005-10-22,-16%,-18%
2005-10-23 - 2005-10-29,-16%,-29%
2005-10-30 - 2005-11-05,-23%,-36%
2005-11-06 - 2005-11-12,-19%,+0%
2005-11-13 - 2005-11-19,-18%,-7%
2005-11-20 - 2005-11-26,-19%,-18%
2005-11-27 - 2005-12-03,-18%,+0%
2005-12-04 - 2005-12-10,-20%,-39%
2005-12-11 - 2005-12-17,-20%,-21%
2005-12-18 - 2005-12-24,-26%,-25%
2005-12-25 - 2005-12-31,-32%,-25%
2006-01-01 - 2006-01-07,-31%,-57%
2006-01-08 - 2006-01-14,-25%,-14%
2006-01-15 - 2006-01-21,-24%,-18%
2006-01-22 - 2006-01-28,-25%,-32%
2006-01-29 - 2006-02-04,-24%,-18%
2006-02-05 - 2006-02-11,-20%,-21%
2006-02-12 - 2006-02-18,-24%,-14%
2006-02-19 - 2006-02-25,-19%,-29%
2006-02-26 - 2006-03-04,-22%,-36%
2006-03-05 - 2006-03-11,-22%,-18%
2006-03-12 - 2006-03-18,-22%,-7%
2006-03-19 - 2006-03-25,-23%,-25%
2006-03-26 - 2006-04-01,-22%,-43%
2006-04-02 - 2006-04-08,-24%,-21%
2006-04-09 - 2006-04-15,-25%,-25%
2006-04-16 - 2006-04-22,-23%,-11%
2006-04-23 - 2006-04-29,-23%,-36%
2006-04-30 - 2006-05-06,-27%,-32%
2006-05-07 - 2006-05-13,-23%,-43%
2006-05-14 - 2006-05-20,-23%,-32%
2006-05-21 - 2006-05-27,-25%,-25%
2006-05-28 - 2006-06-03,-25%,-14%
2006-06-04 - 2006-06-10,-25%,-18%
2006-06-11 - 2006-06-17,-24%,-25%
2006-06-18 - 2006-06-24,-25%,-14%
2006-06-25 - 2006-07-01,-28%,-29%
2006-07-02 - 2006-07-08,-30%,-21%
2006-07-09 - 2006-07-15,-27%,-14%
2006-07-16 - 2006-07-22,-28%,-29%
2006-07-23 - 2006-07-29,-27%,-36%
2006-07-30 - 2006-08-05,-28%,-32%
2006-08-06 - 2006-08-12,-28%,+86%
2006-08-13 - 2006-08-19,-32%,+4%
2006-08-20 - 2006-08-26,-27%,-18%
2006-08-27 - 2006-09-02,-31%,-18%
2006-09-03 - 2006-09-09,-28%,-21%
2006-09-10 - 2006-09-16,-26%,-29%
2006-09-17 - 2006-09-23,-27%,-29%
2006-09-24 - 2006-09-30,-27%,-18%
2006-10-01 - 2006-10-07,-31%,-14%
2006-10-08 - 2006-10-14,-26%,-21%
2006-10-15 - 2006-10-21,-24%,-25%
2006-10-22 - 2006-10-28,-27%,-25%
2006-10-29 - 2006-11-04,-30%,+14%
2006-11-05 - 2006-11-11,-27%,-4%
2006-11-12 - 2006-11-18,-25%,-21%
2006-11-19 - 2006-11-25,-30%,-43%
2006-11-26 - 2006-12-02,-27%,-18%
2006-12-03 - 2006-12-09,-30%,-32%
2006-12-10 - 2006-12-16,-30%,-46%
2006-12-17 - 2006-12-23,-32%,-36%
2006-12-24 - 2006-12-30,-42%,-36%
2006-12-31 - 2007-01-06,-40%,-36%
2007-01-07 - 2007-01-13,-32%,-11%
2007-01-14 - 2007-01-20,-33%,-18%
2007-01-21 - 2007-01-27,-30%,-11%
2007-01-28 - 2007-02-03,-30%,-11%
