Web Search interest: javascript
Worldwide; 2004 - present

Interest over time
Week,javascript
2007-02-04 - 2007-02-10,-28%,-40%
2007-02-11 - 2007-02-17,-30%,-40%
2007-02-18 - 2007-02-24,-32%,-40%
2007-02-25 - 2007-03-03,-32%,-39%
2007-03-04 - 2007-03-10,-30%,-40%
2007-03-11 - 2007-03-17,-28%,-39%
2007-03-18 - 2007-03-24,-30%,-40%
2007-03-25 - 2007-03-31,-31%,-38%
2007-04-01 - 2007-04-07,-32%,-42%
2007-04-08 - 2007-04-14,-33%,-41%
2007-04-15 - 2007-04-21,-31%,-42%
2007-04-22 - 2007-04-28,-32%,-42%
2007-04-29 - 2007-05-05,-36%,-48%
2007-05-06 - 2007-05-12,-32%,-43%
2007-05-13 - 2007-05-19,-31%,-41%
2007-05-20 - 2007-05-26,-31%,-43%
2007-05-27 - 2007-06-02,-30%,-44%
2007-06-03 - 2007-06-09,-30%,-40%
2007-06-10 - 2007-06-16,-33%,-42%
2007-06-17 - 2007-06-23,-33%,-42%
2007-06-24 - 2007-06-30,-32%,-42%
2007-07-01 - 2007-07-07,-33%,-41%
2007-07-08 - 2007-07-14,-33%,-41%
2007-07-15 - 2007-07-21,-34%,-42%
2007-07-22 - 2007-07-28,-35%,-45%
2007-07-29 - 2007-08-04,-36%,-43%
2007-08-05 - 2007-08-11,-35%,-43%
2007-08-12 - 2007-08-18,-39%,-45%
2007-08-19 - 2007-08-25,-36%,-44%
2007-08-26 - 2007-09-01,-36%,-43%
2007-09-02 - 2007-09-08,-36%,-46%
2007-09-09 - 2007-09-15,-36%,-45%
2007-09-16 - 2007-09-22,-35%,-43%
2007-09-23 - 2007-09-29,-35%,-48%
2007-09-30 - 2007-10-06,-36%,-49%
2007-10-07 - 2007-10-13,-34%,-46%
2007-10-14 - 2007-10-20,-34%,-46%
2007-10-21 - 2007-10-27,-34%,-45%
2007-10-28 - 2007-11-03,-34%,-47%
2007-11-04 - 2007-11-10,-35%,-48%
2007-11-11 - 2007-11-17,-34%,-48%
2007-11-18 - 2007-11-24,-31%,-44%
2007-11-25 - 2007-12-01,-26%,-40%
2007-12-02 - 2007-12-08,-30%,-43%
2007-12-09 - 2007-12-15,-37%,-46%
2007-12-16 - 2007-12-22,-40%,-49%
2007-12-23 - 2007-12-29,-50%,-61%
2007-12-30 - 2008-01-05,-51%,-61%
2008-01-06 - 2008-01-12,-40%,-54%
2008-01-13 - 2008-01-19,-41%,-54%
2008-01-20 - 2008-01-26,-40%,-53%
2008-01-27 - 2008-02-02,-41%,-51%
2008-02-03 - 2008-02-09,-41%,-53%
2008-02-10 - 2008-02-16,-41%,-52%
2008-02-17 - 2008-02-23,-37%,-51%
2008-02-24 - 2008-03-01,-37%,-52%
2008-03-02 - 2008-03-08,-40%,-48%
2008-03-09 - 2008-03-15,-39%,-51%
2008-03-16 - 2008-03-22,-41%,-55%
2008-03-23 - 2008-03-29,-42%,-54%
2008-03-30 - 2008-04-05,-40%,-53%
2008-04-06 - 2008-04-12,-39%,-53%
2008-04-13 - 2008-04-19,-39%,-51%
2008-04-20 - 2008-04-26,-37%,-51%
2008-04-27 - 2008-05-03,-44%,-55%
2008-05-04 - 2008-05-10,-42%,-55%
2008-05-11 - 2008-05-17,-41%,-54%
2008-05-18 - 2008-05-24,-41%,-55%
2008-05-25 - 2008-05-31,-41%,-54%
2008-06-01 - 2008-06-07,-43%,-54%
2008-06-08 - 2008-06-14,-42%,-54%
2008-06-15 - 2008-06-21,-41%,-52%
2008-06-22 - 2008-06-28,-43%,-51%
2008-06-29 - 2008-07-05,-42%,-55%
2008-07-06 - 2008-07-12,-42%,-52%
2008-07-13 - 2008-07-19,-42%,-53%
2008-07-20 - 2008-07-26,-44%,-53%
2008-07-27 - 2008-08-02,-44%,-55%
2008-08-03 - 2008-08-09,-45%,-55%
2008-08-10 - 2008-08-16,-47%,-54%
2008-08-17 - 2008-08-23,-45%,-57%
2008-08-24 - 2008-08-30,-44%,-56%
2008-08-31 - 2008-09-06,-45%,-55%
2008-09-07 - 2008-09-13,-43%,-54%
2008-09-14 - 2008-09-20,-44%,-56%
2008-09-21 - 2008-09-27,-42%,-54%
2008-09-28 - 2008-10-04,-47%,-56%
2008-10-05 - 2008-10-11,-44%,-56%
2008-10-12 - 2008-10-18,-43%,-56%
2008-10-19 - 2008-10-25,-43%,-55%
2008-10-26 - 2008-11-01,-43%,-58%
2008-11-02 - 2008-11-08,-43%,-57%
2008-11-09 - 2008-11-15,-43%,-56%
2008-11-16 - 2008-11-22,-43%,-56%
2008-11-23 - 2008-11-29,-47%,-58%
2008-11-30 - 2008-12-06,-43%,-57%
2008-12-07 - 2008-12-13,-45%,-57%
2008-12-14 - 2008-12-20,-48%,-57%
2008-12-21 - 2008-12-27,-53%,-65%
2008-12-28 - 2009-01-03,-58%,-68%
2009-01-04 - 2009-01-10,-43%,-60%
2009-01-11 - 2009-01-17,-41%,-58%
2009-01-18 - 2009-01-24,-44%,-58%
2009-01-25 - 2009-01-31,-47%,-59%
2009-02-01 - 2009-02-07,-44%,-57%
2009-02-08 - 2009-02-14,-44%,-57%
2009-02-15 - 2009-02-21,-42%,-56%
2009-02-22 - 2009-02-28,-43%,-56%
2009-03-01 - 2009-03-07,-43%,-56%
2009-03-08 - 2009-03-14,-43%,-56%
2009-03-15 - 2009-03-21,-43%,-56%
2009-03-22 - 2009-03-28,-43%,-57%
2009-03-29 - 2009-04-04,-43%,-56%
2009-04-05 - 2009-04-11,-45%,-57%
2009-04-12 - 2009-04-18,-44%,-57%
2009-04-19 - 2009-04-25,-44%,-55%
2009-04-26 - 2009-05-02,-47%,-58%
2009-05-03 - 2009-05-09,-45%,-59%
2009-05-10 - 2009-05-16,-43%,-56%
2009-05-17 - 2009-05-23,-44%,-57%
2009-05-24 - 2009-05-30,-48%,-58%
2009-05-31 - 2009-06-06,-45%,-58%
2009-06-07 - 2009-06-13,-45%,-57%
2009-06-14 - 2009-06-20,-45%,-58%
2009-06-21 - 2009-06-27,-48%,-58%
2009-06-28 - 2009-07-04,-50%,-60%
2009-07-05 - 2009-07-11,-48%,-58%
2009-07-12 - 2009-07-18,-47%,-59%
2009-07-19 - 2009-07-25,-49%,-59%
2009-07-26 - 2009-08-01,-48%,-59%
2009-08-02 - 2009-08-08,-48%,-60%
2009-08-09 - 2009-08-15,-49%,-60%
2009-08-16 - 2009-08-22,-47%,-60%
2009-08-23 - 2009-08-29,-48%,-60%
2009-08-30 - 2009-09-05,-47%,-61%
2009-09-06 - 2009-09-12,-48%,-62%
2009-09-13 - 2009-09-19,-48%,-61%
2009-09-20 - 2009-09-26,-49%,-61%
2009-09-27 - 2009-10-03,-50%,-64%
2009-10-04 - 2009-10-10,-47%,-62%
2009-10-11 - 2009-10-17,-48%,-62%
2009-10-18 - 2009-10-24,-40%,-62%
2009-10-25 - 2009-10-31,-40%,-62%
2009-11-01 - 2009-11-07,-43%,-62%
2009-11-08 - 2009-11-14,-44%,-62%
2009-11-15 - 2009-11-21,-44%,-60%
2009-11-22 - 2009-11-28,-47%,-63%
2009-11-29 - 2009-12-05,-48%,-63%
2009-12-06 - 2009-12-12,-47%,-63%
2009-12-13 - 2009-12-19,-49%,-64%
2009-12-20 - 2009-12-26,-53%,-68%
2009-12-27 - 2010-01-02,-58%,-73%
2010-01-03 - 2010-01-09,-52%,-66%
2010-01-10 - 2010-01-16,-49%,-65%
2010-01-17 - 2010-01-23,-48%,-63%
2010-01-24 - 2010-01-30,-48%,-65%
2010-01-31 - 2010-02-06,-48%,-64%
2010-02-07 - 2010-02-13,-49%,-64%
2010-02-14 - 2010-02-20,-49%,-63%
2010-02-21 - 2010-02-27,-47%,-63%
2010-02-28 - 2010-03-06,-47%,-64%
2010-03-07 - 2010-03-13,-48%,-63%
2010-03-14 - 2010-03-20,-49%,-63%
2010-03-21 - 2010-03-27,-48%,-63%
2010-03-28 - 2010-04-03,-50%,-64%
2010-04-04 - 2010-04-10,-49%,-66%
2010-04-11 - 2010-04-17,-47%,-65%
2010-04-18 - 2010-04-24,-48%,-64%
2010-04-25 - 2010-05-01,-49%,-66%
2010-05-02 - 2010-05-08,-50%,-66%
2010-05-09 - 2010-05-15,-48%,-65%
2010-05-16 - 2010-05-22,-48%,-65%
2010-05-23 - 2010-05-29,-51%,-66%
2010-05-30 - 2010-06-05,-49%,-66%
2010-06-06 - 2010-06-12,-49%,-65%
2010-06-13 - 2010-06-19,-50%,-66%
2010-06-20 - 2010-06-26,-50%,-67%
2010-06-27 - 2010-07-03,-53%,-68%
2010-07-04 - 2010-07-10,-55%,-69%
2010-07-11 - 2010-07-17,-55%,-69%
2010-07-18 - 2010-07-24,-52%,-68%
2010-07-25 - 2010-07-31,-53%,-68%
2010-08-01 - 2010-08-07,-53%,-68%
2010-08-08 - 2010-08-14,-53%,-69%
2010-08-15 - 2010-08-21,-53%,-67%
2010-08-22 - 2010-08-28,-53%,-69%
2010-08-29 - 2010-09-04,-53%,-69%
2010-09-05 - 2010-09-11,-53%,-71%
2010-09-12 - 2010-09-18,-53%,-69%
2010-09-19 - 2010-09-25,-53%,-71%
2010-09-26 - 2010-10-02,-51%,-69%
2010-10-03 - 2010-10-09,-51%,-68%
2010-10-10 - 2010-10-16,-51%,-69%
2010-10-17 - 2010-10-23,-51%,-68%
2010-10-24 - 2010-10-30,-51%,-68%
2010-10-31 - 2010-11-06,-53%,-71%
2010-11-07 - 2010-11-13,-52%,-68%
2010-11-14 - 2010-11-20,-52%,-69%
2010-11-21 - 2010-11-27,-53%,-71%
2010-11-28 - 2010-12-04,-55%,-68%
2010-12-05 - 2010-12-11,-53%,-69%
2010-12-12 - 2010-12-18,-53%,-71%
2010-12-19 - 2010-12-25,-58%,-73%
2010-12-26 - 2011-01-01,-61%,-77%
2011-01-02 - 2011-01-08,-57%,-73%
2011-01-09 - 2011-01-15,-55%,-72%
2011-01-16 - 2011-01-22,-52%,-72%
2011-01-23 - 2011-01-29,-53%,-71%
2011-01-30 - 2011-02-05,-56%,-72%
2011-02-06 - 2011-02-12,-52%,-71%
2011-02-13 - 2011-02-19,-53%,-71%
2011-02-20 - 2011-02-26,-55%,-69%
2011-02-27 - 2011-03-05,-53%,-69%
2011-03-06 - 2011-03-12,-55%,-69%
2011-03-13 - 2011-03-19,-55%,-69%
2011-03-20 - 2011-03-26,-55%,-69%
2011-03-27 - 2011-04-02,-53%,-71%
2011-04-03 - 2011-04-09,-53%,-72%
2011-04-10 - 2011-04-16,-51%,-68%
2011-04-17 - 2011-04-23,-55%,-71%
2011-04-24 - 2011-04-30,-56%,-72%
2011-05-01 - 2011-05-07,-57%,-71%
2011-05-08 - 2011-05-14,-55%,-71%
2011-05-15 - 2011-05-21,-55%,-69%
2011-05-22 - 2011-05-28,-53%,-69%
2011-05-29 - 2011-06-04,-56%,-72%
2011-06-05 - 2011-06-11,-56%,-71%
2011-06-12 - 2011-06-18,-55%,-71%
2011-06-19 - 2011-06-25,-55%,-71%
2011-06-26 - 2011-07-02,-57%,-71%
2011-07-03 - 2011-07-09,-58%,-72%
2011-07-10 - 2011-07-16,-56%,-69%
2011-07-17 - 2011-07-23,-57%,-72%
2011-07-24 - 2011-07-30,-56%,-71%
2011-07-31 - 2011-08-06,-58%,-71%
2011-08-07 - 2011-08-13,-57%,-72%
2011-08-14 - 2011-08-20,-58%,-73%
2011-08-21 - 2011-08-27,-57%,-73%
2011-08-28 - 2011-09-03,-58%,-74%
2011-09-04 - 2011-09-10,-59%,-72%
2011-09-11 - 2011-09-17,-55%,-71%
2011-09-18 - 2011-09-24,-56%,-73%
2011-09-25 - 2011-10-01,-56%,-71%
2011-10-02 - 2011-10-08,-58%,-73%
2011-10-09 - 2011-10-15,-56%,-72%
2011-10-16 - 2011-10-22,-55%,-71%
2011-10-23 - 2011-10-29,-56%,-72%
2011-10-30 - 2011-11-05,-57%,-72%
2011-11-06 - 2011-11-12,-56%,-72%
2011-11-13 - 2011-11-19,-57%,-72%
2011-11-20 - 2011-11-26,-57%,-73%
2011-11-27 - 2011-12-03,-57%,-72%
2011-12-04 - 2011-12-10,-57%,-73%
2011-12-11 - 2011-12-17,-56%,-73%
2011-12-18 - 2011-12-24,-60%,-75%
2011-12-25 - 2011-12-31,-65%,-79%
2012-01-01 - 2012-01-07,-61%,-76%
2012-01-08 - 2012-01-14,-59%,-74%
2012-01-15 - 2012-01-21,-59%,-73%
2012-01-22 - 2012-01-28,-59%,-75%
2012-01-29 - 2012-02-04,-58%,-73%
2012-02-05 - 2012-02-11,-58%,-73%
2012-02-12 - 2012-02-18,-57%,-73%
2012-02-19 - 2012-02-25,-57%,-73%
2012-02-26 - 2012-03-03,-58%,-73%
2012-03-04 - 2012-03-10,-57%,-73%
2012-03-11 - 2012-03-17,-57%,-74%
2012-03-18 - 2012-03-24,-58%,-73%
2012-03-25 - 2012-03-31,-57%,-73%
2012-04-01 - 2012-04-07,-59%,-74%
2012-04-08 - 2012-04-14,-58%,-74%
2012-04-15 - 2012-04-21,-57%,-73%
2012-04-22 - 2012-04-28,-58%,-74%
2012-04-29 - 2012-05-05,-60%,-75%
2012-05-06 - 2012-05-12,-58%,-74%
2012-05-13 - 2012-05-19,-58%,-74%
2012-05-20 - 2012-05-26,-56%,-74%
2012-05-27 - 2012-06-02,-59%,-74%
2012-06-03 - 2012-06-09,-58%,-74%
2012-06-10 - 2012-06-16,-59%,-74%
2012-06-17 - 2012-06-23,-59%,-74%
2012-06-24 - 2012-06-30,-59%,-74%
2012-07-01 - 2012-07-07,-61%,-74%
2012-07-08 - 2012-07-14,-60%,-74%
2012-07-15 - 2012-07-21,-61%,-74%
2012-07-22 - 2012-07-28,-60%,-74%
2012-07-29 - 2012-08-04,-61%,-75%
2012-08-05 - 2012-08-11,-60%,-74%
2012-08-12 - 2012-08-18,-62%,-75%
2012-08-19 - 2012-08-25,-60%,-74%
2012-08-26 - 2012-09-01,-60%,-74%
2012-09-02 - 2012-09-08,-59%,-75%
2012-09-09 - 2012-09-15,-58%,-74%
2012-09-16 - 2012-09-22,-58%,-74%
2012-09-23 - 2012-09-29,-59%,-74%
2012-09-30 - 2012-10-06,-59%,-75%
2012-10-07 - 2012-10-13,-59%,-74%
2012-10-14 - 2012-10-20,-60%,-73%
2012-10-21 - 2012-10-27,-59%,-75%
2012-10-28 - 2012-11-03,-60%,-77%
2012-11-04 - 2012-11-10,-59%,-75%
2012-11-11 - 2012-11-17,-60%,-75%
2012-11-18 - 2012-11-24,-61%,-76%
2012-11-25 - 2012-12-01,-60%,-75%
2012-12-02 - 2012-12-08,-60%,-75%
2012-12-09 - 2012-12-15,-60%,-75%
2012-12-16 - 2012-12-22,-62%,-76%
2012-12-23 - 2012-12-29,-69%,-82%
2012-12-30 - 2013-01-05,-68%,-82%
2013-01-06 - 2013-01-12,-61%,-76%
2013-01-13 - 2013-01-19,-59%,-76%
2013-01-20 - 2013-01-26,-59%,-75%
2013-01-27 - 2013-02-02,-60%,-75%
2013-02-03 - 2013-02-09,-60%,-75%
2013-02-10 - 2013-02-16,-61%,-76%
2013-02-17 - 2013-02-23,-60%,-75%
2013-02-24 - 2013-03-02,-60%,-74%
2013-03-03 - 2013-03-09,-59%,-74%
2013-03-10 - 2013-03-16,-60%,-73%
2013-03-17 - 2013-03-23,-59%,-74%
2013-03-24 - 2013-03-30,-62%,-76%
2013-03-31 - 2013-04-06,-61%,-75%
2013-04-07 - 2013-04-13,-60%,-75%
2013-04-14 - 2013-04-20,-60%,-74%
2013-04-21 - 2013-04-27,-60%,-74%
2013-04-28 - 2013-05-04,-64%,-76%
2013-05-05 - 2013-05-11,-62%,-75%
2013-05-12 - 2013-05-18,-60%,-75%
2013-05-19 - 2013-05-25,-61%,-75%
2013-05-26 - 2013-06-01,-62%,-76%
2013-06-02 - 2013-06-08,-60%,-75%
2013-06-09 - 2013-06-15,-61%,-75%
2013-06-16 - 2013-06-22,-61%,-76%
2013-06-23 - 2013-06-29,-61%,-75%
2013-06-30 - 2013-07-06,-62%,-76%
2013-07-07 - 2013-07-13,-62%,-76%
2013-07-14 - 2013-07-20,-64%,-75%
2013-07-21 - 2013-07-27,-64%,-76%
2013-07-28 - 2013-08-03,-64%,-76%
2013-08-04 - 2013-08-10,-65%,-77%
2013-08-11 - 2013-08-17,-64%,-78%
2013-08-18 - 2013-08-24,-64%,-76%
2013-08-25 - 2013-08-31,-62%,-75%
2013-09-01 - 2013-09-07,-62%,-77%
2013-09-08 - 2013-09-14,-61%,-76%
2013-09-15 - 2013-09-21,-62%,-76%
2013-09-22 - 2013-09-28,-61%,-76%
2013-09-29 - 2013-10-05,-61%,-76%
2013-10-06 - 2013-10-12,-60%,-74%
2013-10-13 - 2013-10-19,-60%,-75%
2013-10-20 - 2013-10-26,-61%,-75%
2013-10-27 - 2013-11-02,-62%,-75%
2013-11-03 - 2013-11-09,-61%,-75%
2013-11-10 - 2013-11-16,-60%,-75%
2013-11-17 - 2013-11-23,-60%,-75%
2013-11-24 - 2013-11-30,-62%,-76%
2013-12-01 - 2013-12-07,-62%,-75%
2013-12-08 - 2013-12-14,-61%,-75%
2013-12-15 - 2013-12-21,-64%,-75%
2013-12-22 - 2013-12-28,-69%,-82%
2013-12-29 - 2014-01-04,-70%,-82%
2014-01-05 - 2014-01-11,-64%,-76%
2014-01-12 - 2014-01-18,-61%,-76%
2014-01-19 - 2014-01-25,-61%,-75%
2014-01-26 - 2014-02-01,-62%,-75%
2014-02-02 - 2014-02-08,-64%,-76%
2014-02-09 - 2014-02-15,-61%,-76%
2014-02-16 - 2014-02-22,-61%,-75%
2014-02-23 - 2014-03-01,-61%,-74%
2014-03-02 - 2014-03-08,-61%,-75%
2014-03-09 - 2014-03-15,-60%,-74%
2014-03-16 - 2014-03-22,-62%,-75%
2014-03-23 - 2014-03-29,-61%,-75%
2014-03-30 - 2014-04-05,-61%,-75%
2014-04-06 - 2014-04-12,-61%,-75%
2014-04-13 - 2014-04-19,-62%,-76%
2014-04-20 - 2014-04-26,-61%,-76%
2014-04-27 - 2014-05-03,-64%,-77%
2014-05-04 - 2014-05-10,-61%,-76%
2014-05-11 - 2014-05-17,-61%,-75%
2014-05-18 - 2014-05-24,-62%,-75%
2014-05-25 - 2014-05-31,-65%,-77%
2014-06-01 - 2014-06-07,-62%,-76%
2014-06-08 - 2014-06-14,-64%,-76%
2014-06-15 - 2014-06-21,-64%,-77%
2014-06-22 - 2014-06-28,-64%,-77%
2014-06-29 - 2014-07-05,-66%,-77%
2014-07-06 - 2014-07-12,-65%,-77%
2014-07-13 - 2014-07-19,-64%,-76%
2014-07-20 - 2014-07-26,-64%,-76%
2014-07-27 - 2014-08-02,-66%,-77%
2014-08-03 - 2014-08-09,-62%,-74%
2014-08-10 - 2014-08-16, , 
2014-08-17 - 2014-08-23, , 
2014-08-24 - 2014-08-30, , 
2014-08-31 - 2014-09-06, , 


Top regions for javascript
Region,javascript
Cuba,100
India,85
Madagascar,58
Hong Kong,57
Sri Lanka,46
Singapore,45
Nepal,45
Czech Republic,45
South Korea,45
Japan,42
Estonia,42
Taiwan,42
Philippines,38
Iceland,38
Bangladesh,37
United States,37
Israel,37
Netherlands,37
Luxembourg,36
Sweden,36
China,36
Belarus,35
Mauritius,35
Canada,35
Cambodia,34
Latvia,34
Cameroon,33
Switzerland,32
Malta,31
South Africa,31
Australia,30
Pakistan,30
New Zealand,30
Denmark,30
Armenia,30
Germany,30
United Kingdom,29
Norway,29
Belgium,29
Portugal,29
Spain,29
France,29
Tunisia,29
Ukraine,28
Lebanon,28
Kenya,27
Costa Rica,27
Moldova,27
Russia,27
Romania,27
Finland,27
Austria,27
Hungary,27
Macau,26
Mongolia,26
Bulgaria,26
Uganda,25
Slovenia,25
Uruguay,24
Côte d’Ivoire,24
Ireland,23
Malaysia,23
Bolivia,23
Macedonia (FYROM),23
Italy,22
El Salvador,22
Slovakia,22
Myanmar (Burma),21
Jamaica,21
Ethiopia,21
Mexico,21
Lithuania,21
Senegal,20
Brazil,20
Chile,20
Greece,19
Morocco,19
Poland,19
Cyprus,18
Uzbekistan,18
Colombia,18
Argentina,18
Serbia,17
Nicaragua,17
Georgia,17
Ghana,17
Iran,16
Guatemala,16
Croatia,16
Kyrgyzstan,16
Peru,16
Panama,16
Jordan,16
Paraguay,15
Ecuador,15
United Arab Emirates,14
Indonesia,14
Nigeria,14
Zimbabwe,14
Saint Helena,14
Trinidad and Tobago,14
Honduras,14
Dominican Republic,14
Venezuela,14
Thailand,14
Vietnam,14
Tanzania,13
Puerto Rico,13
Réunion,12
Syria,12
Egypt,11
Bahrain,11
Albania,11
Palestine,10
Bosnia and Herzegovina,10
Qatar,10
Kuwait,9
Oman,9
Kazakhstan,8
Turkey,8
Algeria,7
Azerbaijan,7
Sudan,6
Saudi Arabia,5
Iraq,3


Top cities for javascript
City,javascript
Chennai (India),100
Hyderabad (India),89
Bangalore (India),88
Mumbai (India),56
Seoul (South Korea),50
New Delhi (India),48
San Francisco (United States),47
Beijing (China),46
Amsterdam (Netherlands),39
Singapore (Singapore),37
Pune (India),35
Seattle (United States),35
Montreal (Canada),33
Stockholm (Sweden),33
Paris (France),31



Top searches for javascript
jquery,100
javascript string,75
javascript array,55
javascript function,55
php,50
javascript for,50
script,45
javascript object,35
download javascript,35
javascript ajax,30
ajax,25
javascript tutorial,25
javascript replace,25
javascript form,25
json,20
java script,20
javascript json,20
javascript date,20
javascript event,20
alert javascript,20
menu javascript,15
free javascript,15
javascript substring,15
javascript select,15
split javascript,15
javascript onclick,15
javascript popup,10
javascript class,10
javascript length,10
javascript functions,10
javascript regex,10
java download,10
prototype,10
javascript prototype,10
javascript checkbox,10
javascript switch,10
javascript indexof,10
settimeout javascript,10
javascript time,10
javascript test,10
javascript editor,10
javascript redirect,10
enable javascript,10
javascript validation,10
javascript window.open,10
window.open,10
javascript print,10
trim javascript,10
javascript string replace,10
javascript reference,10



Rising searches for javascript
ajax,Breakout
javascript ajax,Breakout
javascript json,Breakout
jquery,Breakout
json,Breakout
javascript array,+160%
javascript for,+90%
javascript event,+60%
javascript string,+60%
split javascript,+60%



