Web Search interest: git
Worldwide; 2004 - present

Interest over time
Week,git
2010-06-27 - 2010-07-03,29
2010-07-04 - 2010-07-10,26
2010-07-11 - 2010-07-17,28
2010-07-18 - 2010-07-24,29
2010-07-25 - 2010-07-31,30
2010-08-01 - 2010-08-07,30
2010-08-08 - 2010-08-14,30
2010-08-15 - 2010-08-21,32
2010-08-22 - 2010-08-28,30
2010-08-29 - 2010-09-04,30
2010-09-05 - 2010-09-11,31
2010-09-12 - 2010-09-18,32
2010-09-19 - 2010-09-25,32
2010-09-26 - 2010-10-02,32
2010-10-03 - 2010-10-09,32
2010-10-10 - 2010-10-16,31
2010-10-17 - 2010-10-23,34
2010-10-24 - 2010-10-30,34
2010-10-31 - 2010-11-06,35
2010-11-07 - 2010-11-13,33
2010-11-14 - 2010-11-20,35
2010-11-21 - 2010-11-27,29
2010-11-28 - 2010-12-04,34
2010-12-05 - 2010-12-11,32
2010-12-12 - 2010-12-18,33
2010-12-19 - 2010-12-25,31
2010-12-26 - 2011-01-01,24
2011-01-02 - 2011-01-08,32
2011-01-09 - 2011-01-15,36
2011-01-16 - 2011-01-22,35
2011-01-23 - 2011-01-29,37
2011-01-30 - 2011-02-05,37
2011-02-06 - 2011-02-12,38
2011-02-13 - 2011-02-19,38
2011-02-20 - 2011-02-26,36
2011-02-27 - 2011-03-05,38
2011-03-06 - 2011-03-12,39
2011-03-13 - 2011-03-19,37
2011-03-20 - 2011-03-26,39
2011-03-27 - 2011-04-02,39
2011-04-03 - 2011-04-09,40
2011-04-10 - 2011-04-16,39
2011-04-17 - 2011-04-23,41
2011-04-24 - 2011-04-30,38
2011-05-01 - 2011-05-07,41
2011-05-08 - 2011-05-14,40
2011-05-15 - 2011-05-21,42
2011-05-22 - 2011-05-28,41
2011-05-29 - 2011-06-04,40
2011-06-05 - 2011-06-11,42
2011-06-12 - 2011-06-18,42
2011-06-19 - 2011-06-25,44
2011-06-26 - 2011-07-02,43
2011-07-03 - 2011-07-09,45
2011-07-10 - 2011-07-16,44
2011-07-17 - 2011-07-23,42
2011-07-24 - 2011-07-30,44
2011-07-31 - 2011-08-06,41
2011-08-07 - 2011-08-13,44
2011-08-14 - 2011-08-20,43
2011-08-21 - 2011-08-27,44
2011-08-28 - 2011-09-03,43
2011-09-04 - 2011-09-10,45
2011-09-11 - 2011-09-17,47
2011-09-18 - 2011-09-24,45
2011-09-25 - 2011-10-01,46
2011-10-02 - 2011-10-08,46
2011-10-09 - 2011-10-15,46
2011-10-16 - 2011-10-22,47
2011-10-23 - 2011-10-29,47
2011-10-30 - 2011-11-05,46
2011-11-06 - 2011-11-12,49
2011-11-13 - 2011-11-19,50
2011-11-20 - 2011-11-26,44
2011-11-27 - 2011-12-03,49
2011-12-04 - 2011-12-10,48
2011-12-11 - 2011-12-17,48
2011-12-18 - 2011-12-24,44
2011-12-25 - 2011-12-31,30
2012-01-01 - 2012-01-07,41
2012-01-08 - 2012-01-14,49
2012-01-15 - 2012-01-21,48
2012-01-22 - 2012-01-28,48
2012-01-29 - 2012-02-04,52
2012-02-05 - 2012-02-11,52
2012-02-12 - 2012-02-18,51
2012-02-19 - 2012-02-25,54
2012-02-26 - 2012-03-03,53
2012-03-04 - 2012-03-10,54
2012-03-11 - 2012-03-17,55
2012-03-18 - 2012-03-24,54
2012-03-25 - 2012-03-31,53
2012-04-01 - 2012-04-07,53
2012-04-08 - 2012-04-14,51
2012-04-15 - 2012-04-21,55
2012-04-22 - 2012-04-28,55
2012-04-29 - 2012-05-05,48
2012-05-06 - 2012-05-12,55
2012-05-13 - 2012-05-19,54
2012-05-20 - 2012-05-26,61
2012-05-27 - 2012-06-02,56
2012-06-03 - 2012-06-09,58
2012-06-10 - 2012-06-16,56
2012-06-17 - 2012-06-23,58
2012-06-24 - 2012-06-30,56
2012-07-01 - 2012-07-07,56
2012-07-08 - 2012-07-14,61
2012-07-15 - 2012-07-21,60
2012-07-22 - 2012-07-28,60
2012-07-29 - 2012-08-04,59
2012-08-05 - 2012-08-11,63
2012-08-12 - 2012-08-18,59
2012-08-19 - 2012-08-25,61
2012-08-26 - 2012-09-01,60
2012-09-02 - 2012-09-08,59
2012-09-09 - 2012-09-15,60
2012-09-16 - 2012-09-22,62
2012-09-23 - 2012-09-29,62
2012-09-30 - 2012-10-06,60
2012-10-07 - 2012-10-13,62
2012-10-14 - 2012-10-20,63
2012-10-21 - 2012-10-27,62
2012-10-28 - 2012-11-03,58
2012-11-04 - 2012-11-10,63
2012-11-11 - 2012-11-17,63
2012-11-18 - 2012-11-24,58
2012-11-25 - 2012-12-01,60
2012-12-02 - 2012-12-08,61
2012-12-09 - 2012-12-15,63
2012-12-16 - 2012-12-22,58
2012-12-23 - 2012-12-29,34
2012-12-30 - 2013-01-05,42
2013-01-06 - 2013-01-12,64
2013-01-13 - 2013-01-19,66
2013-01-20 - 2013-01-26,64
2013-01-27 - 2013-02-02,70
2013-02-03 - 2013-02-09,67
2013-02-10 - 2013-02-16,65
2013-02-17 - 2013-02-23,69
2013-02-24 - 2013-03-02,70
2013-03-03 - 2013-03-09,72
2013-03-10 - 2013-03-16,70
2013-03-17 - 2013-03-23,72
2013-03-24 - 2013-03-30,68
2013-03-31 - 2013-04-06,65
2013-04-07 - 2013-04-13,72
2013-04-14 - 2013-04-20,71
2013-04-21 - 2013-04-27,69
2013-04-28 - 2013-05-04,64
2013-05-05 - 2013-05-11,67
2013-05-12 - 2013-05-18,69
2013-05-19 - 2013-05-25,70
2013-05-26 - 2013-06-01,69
2013-06-02 - 2013-06-08,72
2013-06-09 - 2013-06-15,71
2013-06-16 - 2013-06-22,73
2013-06-23 - 2013-06-29,73
2013-06-30 - 2013-07-06,71
2013-07-07 - 2013-07-13,75
2013-07-14 - 2013-07-20,74
2013-07-21 - 2013-07-27,73
2013-07-28 - 2013-08-03,72
2013-08-04 - 2013-08-10,75
2013-08-11 - 2013-08-17,71
2013-08-18 - 2013-08-24,72
2013-08-25 - 2013-08-31,75
2013-09-01 - 2013-09-07,74
2013-09-08 - 2013-09-14,77
2013-09-15 - 2013-09-21,72
2013-09-22 - 2013-09-28,79
2013-09-29 - 2013-10-05,77
2013-10-06 - 2013-10-12,80
2013-10-13 - 2013-10-19,83
2013-10-20 - 2013-10-26,80
2013-10-27 - 2013-11-02,80
2013-11-03 - 2013-11-09,82
2013-11-10 - 2013-11-16,81
2013-11-17 - 2013-11-23,82
2013-11-24 - 2013-11-30,74
2013-12-01 - 2013-12-07,81
2013-12-08 - 2013-12-14,80
2013-12-15 - 2013-12-21,76
2013-12-22 - 2013-12-28,45
2013-12-29 - 2014-01-04,46
2014-01-05 - 2014-01-11,76
2014-01-12 - 2014-01-18,83
2014-01-19 - 2014-01-25,81
2014-01-26 - 2014-02-01,81
2014-02-02 - 2014-02-08,80
2014-02-09 - 2014-02-15,86
2014-02-16 - 2014-02-22,85
2014-02-23 - 2014-03-01,88
2014-03-02 - 2014-03-08,89
2014-03-09 - 2014-03-15,88
2014-03-16 - 2014-03-22,85
2014-03-23 - 2014-03-29,86
2014-03-30 - 2014-04-05,89
2014-04-06 - 2014-04-12,88
2014-04-13 - 2014-04-19,91
2014-04-20 - 2014-04-26,86
2014-04-27 - 2014-05-03,82
2014-05-04 - 2014-05-10,88
2014-05-11 - 2014-05-17,91
2014-05-18 - 2014-05-24,91
2014-05-25 - 2014-05-31,82
2014-06-01 - 2014-06-07,87
2014-06-08 - 2014-06-14,87
2014-06-15 - 2014-06-21,85
2014-06-22 - 2014-06-28,86
2014-06-29 - 2014-07-05,79
2014-07-06 - 2014-07-12,88
2014-07-13 - 2014-07-19,91
2014-07-20 - 2014-07-26,89
2014-07-27 - 2014-08-02,91
2014-08-03 - 2014-08-09,100
2014-08-10 - 2014-08-16, 
2014-08-17 - 2014-08-23, 
2014-08-24 - 2014-08-30, 
2014-08-31 - 2014-09-06, 

Interest over time
Week,Programming,git
2004-01-04 - 2004-01-10,+0%,+0%
2004-01-11 - 2004-01-17,+3%,+0%
2004-01-18 - 2004-01-24,+3%,+0%
2004-01-25 - 2004-01-31,+6%,+0%
2004-02-01 - 2004-02-07,+7%,+0%
2004-02-08 - 2004-02-14,+8%,+0%
2004-02-15 - 2004-02-21,+8%,+0%
2004-02-22 - 2004-02-28,+11%,+0%
2004-02-29 - 2004-03-06,+14%,+0%
2004-03-07 - 2004-03-13,+2%,+0%
2004-03-14 - 2004-03-20,+6%,+0%
2004-03-21 - 2004-03-27,-1%,+0%
2004-03-28 - 2004-04-03,+5%,+0%
2004-04-04 - 2004-04-10,+3%,+0%
2004-04-11 - 2004-04-17,+3%,+0%
2004-04-18 - 2004-04-24,+7%,+0%
2004-04-25 - 2004-05-01,+3%,+0%
2004-05-02 - 2004-05-08,-1%,+0%
2004-05-09 - 2004-05-15,+3%,+0%
2004-05-16 - 2004-05-22,+3%,+0%
2004-05-23 - 2004-05-29,+1%,+0%
2004-05-30 - 2004-06-05,+1%,+0%
2004-06-06 - 2004-06-12,+2%,+0%
2004-06-13 - 2004-06-19,-2%,+0%
2004-06-20 - 2004-06-26,-1%,+0%
2004-06-27 - 2004-07-03,-2%,+0%
2004-07-04 - 2004-07-10,-2%,+0%
2004-07-11 - 2004-07-17,+2%,+0%
2004-07-18 - 2004-07-24,-2%,+0%
2004-07-25 - 2004-07-31,+1%,+0%
2004-08-01 - 2004-08-07,-5%,+0%
2004-08-08 - 2004-08-14,-5%,+0%
2004-08-15 - 2004-08-21,-5%,+0%
2004-08-22 - 2004-08-28,-2%,+0%
2004-08-29 - 2004-09-04,-2%,+0%
2004-09-05 - 2004-09-11,-2%,+0%
2004-09-12 - 2004-09-18,+0%,+0%
2004-09-19 - 2004-09-25,-6%,+0%
2004-09-26 - 2004-10-02,-5%,+0%
2004-10-03 - 2004-10-09,+0%,+0%
2004-10-10 - 2004-10-16,-5%,+0%
2004-10-17 - 2004-10-23,-3%,+0%
2004-10-24 - 2004-10-30,-1%,+0%
2004-10-31 - 2004-11-06,-8%,+0%
2004-11-07 - 2004-11-13,-7%,+0%
2004-11-14 - 2004-11-20,-3%,+0%
2004-11-21 - 2004-11-27,-5%,+0%
2004-11-28 - 2004-12-04,-8%,+0%
2004-12-05 - 2004-12-11,-7%,+0%
2004-12-12 - 2004-12-18,-9%,+0%
2004-12-19 - 2004-12-25,-15%,+0%
2004-12-26 - 2005-01-01,-23%,+0%
2005-01-02 - 2005-01-08,-17%,+0%
2005-01-09 - 2005-01-15,-11%,+0%
2005-01-16 - 2005-01-22,-14%,+0%
2005-01-23 - 2005-01-29,-9%,+0%
2005-01-30 - 2005-02-05,-9%,+0%
2005-02-06 - 2005-02-12,-12%,+0%
2005-02-13 - 2005-02-19,-10%,+0%
2005-02-20 - 2005-02-26,-6%,+0%
2005-02-27 - 2005-03-05,-10%,+0%
2005-03-06 - 2005-03-12,-10%,+0%
2005-03-13 - 2005-03-19,-9%,+0%
2005-03-20 - 2005-03-26,-14%,+0%
2005-03-27 - 2005-04-02,-17%,+0%
2005-04-03 - 2005-04-09,-14%,+0%
2005-04-10 - 2005-04-16,-15%,+0%
2005-04-17 - 2005-04-23,-12%,+150%
2005-04-24 - 2005-04-30,-14%,+50%
2005-05-01 - 2005-05-07,-15%,+0%
2005-05-08 - 2005-05-14,-9%,+25%
2005-05-15 - 2005-05-21,-11%,-50%
2005-05-22 - 2005-05-28,-11%,-25%
2005-05-29 - 2005-06-04,-12%,-25%
2005-06-05 - 2005-06-11,-14%,-50%
2005-06-12 - 2005-06-18,-14%,-25%
2005-06-19 - 2005-06-25,-12%,+0%
2005-06-26 - 2005-07-02,-12%,-50%
2005-07-03 - 2005-07-09,-17%,-50%
2005-07-10 - 2005-07-16,-14%,-50%
2005-07-17 - 2005-07-23,-17%,-50%
2005-07-24 - 2005-07-30,-17%,-50%
2005-07-31 - 2005-08-06,-19%,-25%
2005-08-07 - 2005-08-13,-19%,-25%
2005-08-14 - 2005-08-20,-23%,-25%
2005-08-21 - 2005-08-27,-19%,-25%
2005-08-28 - 2005-09-03,-19%,-25%
2005-09-04 - 2005-09-10,-20%,-25%
2005-09-11 - 2005-09-17,-18%,-25%
2005-09-18 - 2005-09-24,-16%,-50%
2005-09-25 - 2005-10-01,-20%,-25%
2005-10-02 - 2005-10-08,-22%,-25%
2005-10-09 - 2005-10-15,-15%,-25%
2005-10-16 - 2005-10-22,-16%,-50%
2005-10-23 - 2005-10-29,-16%,-50%
2005-10-30 - 2005-11-05,-23%,-50%
2005-11-06 - 2005-11-12,-19%,-50%
2005-11-13 - 2005-11-19,-18%,-50%
2005-11-20 - 2005-11-26,-19%,-25%
2005-11-27 - 2005-12-03,-18%,-25%
2005-12-04 - 2005-12-10,-20%,-50%
2005-12-11 - 2005-12-17,-20%,-50%
2005-12-18 - 2005-12-24,-26%,-25%
2005-12-25 - 2005-12-31,-32%,-50%
2006-01-01 - 2006-01-07,-31%,-25%
2006-01-08 - 2006-01-14,-25%,-50%
2006-01-15 - 2006-01-21,-24%,-25%
2006-01-22 - 2006-01-28,-25%,-25%
2006-01-29 - 2006-02-04,-24%,-50%
2006-02-05 - 2006-02-11,-20%,-25%
2006-02-12 - 2006-02-18,-24%,+0%
2006-02-19 - 2006-02-25,-19%,-50%
2006-02-26 - 2006-03-04,-22%,-50%
2006-03-05 - 2006-03-11,-22%,-50%
2006-03-12 - 2006-03-18,-22%,-50%
2006-03-19 - 2006-03-25,-23%,-50%
2006-03-26 - 2006-04-01,-22%,-75%
2006-04-02 - 2006-04-08,-24%,-50%
2006-04-09 - 2006-04-15,-25%,-50%
2006-04-16 - 2006-04-22,-23%,-50%
2006-04-23 - 2006-04-29,-23%,-50%
2006-04-30 - 2006-05-06,-27%,-25%
2006-05-07 - 2006-05-13,-23%,-50%
2006-05-14 - 2006-05-20,-23%,-50%
2006-05-21 - 2006-05-27,-25%,-50%
2006-05-28 - 2006-06-03,-25%,-50%
2006-06-04 - 2006-06-10,-25%,-25%
2006-06-11 - 2006-06-17,-24%,-25%
2006-06-18 - 2006-06-24,-25%,-25%
2006-06-25 - 2006-07-01,-28%,-50%
2006-07-02 - 2006-07-08,-30%,-50%
2006-07-09 - 2006-07-15,-27%,-50%
2006-07-16 - 2006-07-22,-28%,-50%
2006-07-23 - 2006-07-29,-27%,-25%
2006-07-30 - 2006-08-05,-28%,-25%
2006-08-06 - 2006-08-12,-28%,+0%
2006-08-13 - 2006-08-19,-32%,-50%
2006-08-20 - 2006-08-26,-27%,-50%
2006-08-27 - 2006-09-02,-31%,-25%
2006-09-03 - 2006-09-09,-28%,-50%
2006-09-10 - 2006-09-16,-26%,-25%
2006-09-17 - 2006-09-23,-27%,-50%
2006-09-24 - 2006-09-30,-27%,-50%
2006-10-01 - 2006-10-07,-31%,-25%
2006-10-08 - 2006-10-14,-26%,-50%
2006-10-15 - 2006-10-21,-24%,-50%
2006-10-22 - 2006-10-28,-27%,-50%
2006-10-29 - 2006-11-04,-30%,-25%
2006-11-05 - 2006-11-11,-27%,-25%
2006-11-12 - 2006-11-18,-25%,-25%
2006-11-19 - 2006-11-25,-30%,+0%
2006-11-26 - 2006-12-02,-27%,-25%
2006-12-03 - 2006-12-09,-30%,-25%
2006-12-10 - 2006-12-16,-30%,-50%
2006-12-17 - 2006-12-23,-32%,-50%
2006-12-24 - 2006-12-30,-42%,-50%
2006-12-31 - 2007-01-06,-40%,-25%
2007-01-07 - 2007-01-13,-32%,-25%
2007-01-14 - 2007-01-20,-33%,-25%
2007-01-21 - 2007-01-27,-30%,-25%
2007-01-28 - 2007-02-03,-30%,-25%
2007-02-04 - 2007-02-10,-28%,-50%
